,date,media,newstitle
148,"[<div class=""article__date"">17/09/2018, 13:13 WIB</div>]",Kompascom,Jasa Marga Tunggu SK Menteri PUPR Terkait Integrasi Tol JORR
149,"[<div class=""article__date"">17/09/2018, 11:53 WIB</div>]",Kompascom,Aplikasi Digital Perumahan Juga Bakal Berisi Aturan Membangun Rumah
150,"[<div class=""article__date"">07/09/2018, 15:00 WIB</div>]",Kompascom,Pemerintah Berencana Kembangkan Aplikasi Perumahan Serupa Go-Jek
151,"[<div class=""article__date"">06/09/2018, 20:00 WIB</div>]",Kompascom,Kementerian PUPR Gelar Diskusi Manfaat TI bagi Perumahan
152,"[<div class=""article__date"">06/09/2018, 17:00 WIB</div>]",Kompascom,"Tak Ditunda, 26 Proyek PUPR Ditargetkan Rampung Akhir 2018"
153,"[<div class=""article__date"">04/09/2018, 18:01 WIB</div>]",Kompascom,"Rincian Usulan Tambahan Anggaran Kementerian PUPR Rp 8,7 Triliun"
154,"[<div class=""article__date"">31/08/2018, 22:00 WIB</div>]",Kompascom,Basuki Pastikan Seluruh Proyek Kementerian PUPR Jalan Terus
155,"[<div class=""article__date"">31/08/2018, 20:00 WIB</div>]",Kompascom,"Kementerian PUPR Lebih Banyak Gunakan Aspal Impor, Ini Penjelasan Menteri Basuki"
156,"[<div class=""article__date"">31/08/2018, 19:55 WIB</div>]",Kompascom,Kementerian PUPR Sarankan Konsumen K2 Park Lapor Polisi
157,"[<div class=""article__date"">31/08/2018, 12:30 WIB</div>]",Kompascom,"Pemerintah Ingatkan Asosiasi Awasi Pengembang ""Nakal"""
158,"[<div class=""article__date"">31/08/2018, 10:55 WIB</div>]",Kompascom,"Rp 50 Juta untuk Korban Gempa Lombok, Apa Cukup untuk Bangun Rumah?"
159,"[<div class=""article__date"">30/08/2018, 20:00 WIB</div>]",Kompascom,Empati Para Insinyur Muda untuk Korban Gempa Lombok
160,"[<div class=""article__date"">28/08/2018, 23:34 WIB</div>]",Kompascom,"Lepas Insinyur Muda ke Lombok, Basuki: Jangan Minta Dilayani"
161,"[<div class=""article__date"">28/08/2018, 09:30 WIB</div>]",Kompascom,Basuki Dorong Industri Jasa Konstruksi Tingkatkan Ekspor
162,"[<div class=""article__date"">28/08/2018, 09:24 WIB</div>]",Kompascom,"Bangun Rumah Tahan Gempa di Lombok, Pemerintah Terjunkan 400 Insinyur"
163,"[<div class=""article__date"">27/08/2018, 18:50 WIB</div>]",Kompascom,"BNPB: Uang Perbaikan Rumah, Jangan Dibelikan Motor"
164,"[<div class=""article__date"">27/08/2018, 17:06 WIB</div>]",Kompascom,Kementerian PUPR Gelar Pelatihan Bagi Warga Binaan Lapas
165,"[<div class=""article__date"">23/08/2018, 22:58 WIB</div>]",Kompascom,Begini Cara Kementerian PUPR Suplai Air untuk Korban Gempa Lombok
166,"[<div class=""article__date"">23/08/2018, 22:00 WIB</div>]",Kompascom,Kementerian PUPR Ajak Mahasiswa Gabung Tim Rehabilitasi Rumah Pascagempa Lombok 
167,"[<div class=""article__date"">23/08/2018, 21:30 WIB</div>]",Kompascom,Kementerian PUPR akan Bangun 3 hingga 5 Kebun Raya Per Tahun
168,"[<div class=""article__date"">23/08/2018, 21:00 WIB</div>]",Kompascom,"Ada Kecoa di Wisma Atlet, Kementerian PUPR: Bukan Persoalan"
169,"[<div class=""article__date"">23/08/2018, 20:00 WIB</div>]",Kompascom,Cicilan KPR Masyarakat Lombok Dihentikan Sementara
170,"[<div class=""article__date"">23/08/2018, 18:00 WIB</div>]",Kompascom,"Basuki: Kejar Ketertinggalan, Kita Harus Kerja ""Rock and Roll"""
171,"[<div class=""article__date"">23/08/2018, 16:30 WIB</div>]",Kompascom,"Tak Hanya Tol, Pembangunan Rumah Juga Gunakan Skema KPBU"
172,"[<div class=""article__date"">23/08/2018, 12:00 WIB</div>]",Kompascom,Kenaikan Suku Bunga Tak Pengaruhi Rumah Subsidi
173,"[<div class=""article__date"">22/08/2018, 17:30 WIB</div>]",Kompascom,"Jauh dari Target, Program Satu Juta Rumah Baru 582.638 Unit "
174,"[<div class=""article__date"">21/08/2018, 20:00 WIB</div>]",Kompascom,"28 Agustus, Jalan Akses ""Dry Port"" Cikarang Mulai Berbayar"
175,"[<div class=""article__date"">21/08/2018, 17:00 WIB</div>]",Kompascom,"Rekompak, Cara Pemerintah Bangun Rumah Terdampak Gempa Lombok"
176,"[<div class=""article__date"">21/08/2018, 14:49 WIB</div>]",Kompascom,"Puluhan Ribu Rumah Ambruk, Pakar: Pemerintah Paling Bertanggung Jawab"
177,"[<div class=""article__date"">21/08/2018, 11:00 WIB</div>]",Kompascom,Rp 50 Juta untuk Setiap Kepala Keluarga Lombok Renovasi Rumah
178,"[<div class=""article__date"">20/08/2018, 18:10 WIB</div>]",Kompascom,Ini Menteri yang Rajin Menemani Jokowi Naik Motor
179,"[<div class=""article__date"">20/08/2018, 16:04 WIB</div>]",Kompascom,Sistem Pencahayaan Stadion Manahan Lebih Canggih Dibanding Luzhniki
180,"[<div class=""article__date"">15/08/2018, 15:41 WIB</div>]",Kompascom,Stadion Manahan Solo Bakal Disulap Jadi GBK Mini
181,"[<div class=""article__date"">15/08/2018, 15:23 WIB</div>]",Kompascom,"Rp 19 Triliun, Estimasi Dana Tol Solo-Yogyakarta"
182,"[<div class=""article__date"">14/08/2018, 22:00 WIB</div>]",Kompascom,Terdakwa Mengaku Dipanggil Sekjen PDI-P saat Usulkan Putra Daerah Jadi Pejabat PUPR
183,"[<div class=""article__date"">14/08/2018, 21:30 WIB</div>]",Kompascom,Terdakwa Akui Usulkan Penunjukan Pejabat PUPR Lewat Fraksi PDI Perjuangan
