,media,Title,Desc,titledesc,sentiment
183,JakartaPost,Where are engineers?,"There is a huge shortage of civil engineers, measurable in the tens of thousands, and not enough gra...","Where are the engineers? There is a huge shortage of civil engineers, measurable in the tens of thousands, and not enough gra...","Sentiment(polarity=0.0, subjectivity=0.0)"
184,JakartaPost,Tax amnesty provides good momentum economy,Indonesia’s tax amnesty program is expected to boost liquid assets into the country’s ec...,Tax amnesty provides good momentum for economy Indonesia’s tax amnesty program is expected to boost liquid assets into the country’s ec...,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
185,JakartaPost,Toll road projects stalled because land-owners want higher price Govt,The government has indicated that the disagreement over the land-acquisition price is the main probl...,Toll road projects stalled because land-owners want higher price: Govt The government has indicated that the disagreement over the land-acquisition price is the main probl...,"Sentiment(polarity=0.25, subjectivity=0.5)"
186,JakartaPost,Project preparation key lure private investment,"In the past 10 years, only less than 10 intended public-private partnership (PPP) projects enter int...","Project preparation key to lure private investment In the past 10 years, only less than 10 intended public-private partnership (PPP) projects enter int...","Sentiment(polarity=0.0, subjectivity=0.6875)"
187,JakartaPost,Jakarta kicks off construction LRT sport complex Asian Games,The Jakarta administration is upbeat it can finish three important infrastructure projects in time f...,"Jakarta kicks off construction of LRT, sport complex for Asian Games The Jakarta administration is upbeat it can finish three important infrastructure projects in time f...","Sentiment(polarity=-0.15, subjectivity=0.2)"
188,JakartaPost,Priority projects remain doldrums,"Hundreds of the government’s priority infrastructure projects are on the brink of failure, hav...","Priority projects remain in doldrums Hundreds of the government’s priority infrastructure projects are on the brink of failure, hav...","Sentiment(polarity=0.0, subjectivity=0.0)"
189,JakartaPost,More than half strategic projects remain doldrums,Six months after the issuance of a regulation aimed at fast-tracking hundreds of infrastructure proj...,More than half of strategic projects remain in doldrums Six months after the issuance of a regulation aimed at fast-tracking hundreds of infrastructure proj...,"Sentiment(polarity=0.16666666666666669, subjectivity=0.3333333333333333)"
190,JakartaPost,Jokowi’s 7% growth dream slips further away,"If infrastructure bottlenecks get solved, Indonesia can expect to enjoy growth of 7 percent. That&rs...","Jokowi’s 7% growth dream slips further away If infrastructure bottlenecks get solved, Indonesia can expect to enjoy growth of 7 percent. That&rs...","Sentiment(polarity=0.0, subjectivity=0.5)"
191,JakartaPost,Sukuk plays important infrastructure development role Minister,Sukuk has played a significant role in promoting resilient infrastructure and sustainable economic d...,Sukuk plays important infrastructure development role: Minister Sukuk has played a significant role in promoting resilient infrastructure and sustainable economic d...,"Sentiment(polarity=0.4, subjectivity=1.0)"
192,JakartaPost,New system halves drive from Jakarta C. Java,Toll road operators are upbeat about improved traffic congestion and trip durations from Jakarta to ...,New system halves drive from Jakarta to C. Java Toll road operators are upbeat about improved traffic congestion and trip durations from Jakarta to ...,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
193,JakartaPost,City speeds up construction Asian Games facilities,Construction projects underway for the Asian Games will be complete by the time the sporting event i...,City speeds up construction of Asian Games facilities Construction projects underway for the Asian Games will be complete by the time the sporting event i...,"Sentiment(polarity=0.0, subjectivity=0.0)"
194,JakartaPost,Govt confirms Patimban megaport plans another big one Java’s north coast,"The government will relocate the Cilamaya port project to Patimban in Subang, West Java on account o...","Govt confirms Patimban megaport, plans another big one in Java’s north coast The government will relocate the Cilamaya port project to Patimban in Subang, West Java on account o...","Sentiment(polarity=0.0, subjectivity=0.1)"
195,JakartaPost,China shrugs off labor influx into RI,China has denied that investments in many mega projects in Indonesia will result in a massive influx...,China shrugs off labor influx into RI China has denied that investments in many mega projects in Indonesia will result in a massive influx...,"Sentiment(polarity=0.0, subjectivity=0.0)"
196,JakartaPost,ADB meets set course region’s development,"Senior government officials, business leaders, academics, and representatives from civil society and...","ADB meets to set course on region’s development Senior government officials, business leaders, academics, and representatives from civil society and...","Sentiment(polarity=0.0, subjectivity=0.0)"
197,JakartaPost,Q&A High-speed railway tug war Japan vs. China,The plan to build a high-speed railway has existed for years. The project was pursued by J...,Q&A: High-speed railway tug of war: Japan vs. China The plan to build a high-speed railway has existed for years. The project was pursued by J...,"Sentiment(polarity=0.0, subjectivity=0.0)"
198,JakartaPost,Holding company manage state-owned construction firms,The State-Owned Enterprises Ministry will create a holding company for state-owned construction comp...,Holding company to manage state-owned construction firms The State-Owned Enterprises Ministry will create a holding company for state-owned construction comp...,"Sentiment(polarity=0.0, subjectivity=0.0)"
199,JakartaPost,Govt accelerate infrastructure developments Mandeh,"A series of infrastructure developments have been slated for Mandeh in West Sumatra, inclusive of ne...","Govt to accelerate infrastructure developments in Mandeh A series of infrastructure developments have been slated for Mandeh in West Sumatra, inclusive of ne...","Sentiment(polarity=0.0, subjectivity=0.0)"
